nivel,id_ambito_geografico,ubigeo_departamento,nombre_departamento,ubigeo_provincia,nombre_provincia,actasContabilizadas,contabilizadas,totalActas,participacionCiudadana,actasEnviadasJee,enviadasJee,actasPendientesJee,pendientesJee,fechaActualizacion,idUbigeoDepartamento,idUbigeoProvincia,idUbigeoDistrito,idUbigeoDistritoElectoral,totalVotosEmitidos,totalVotosValidos,porcentajeVotosEmitidos,porcentajeVotosValidos,error
provincia,1,020000,Áncash,020200,Aija,100.0,26,26,67.721,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,4473,3414,100,100,
provincia,1,020000,Áncash,020300,Bolognesi,98.824,84,85,65.01,1.176,1,0.0,0,1777042806561,140000,140100,140101,15,13149,10210,100,100,
provincia,1,020000,Áncash,020400,Carhuaz,97.987,146,149,78.453,2.013,3,0.0,0,1777042806561,140000,140100,140101,15,32172,23013,100,100,
provincia,1,020000,Áncash,020500,Casma,86.713,124,143,69.197,13.287,19,0.0,0,1777042806561,140000,140100,140101,15,28451,21919,100,100,
provincia,1,020000,Áncash,020600,Corongo,96.296,26,27,60.016,3.704,1,0.0,0,1777042806561,140000,140100,140101,15,3799,2835,100,100,
provincia,1,020000,Áncash,020700,Huaylas,96.45,163,169,70.887,3.55,6,0.0,0,1777042806561,140000,140100,140101,15,33310,23103,100,100,
provincia,1,020000,Áncash,020800,Huari,90.606,299,330,45.807,9.394,31,0.0,0,1777042806561,140000,140100,140101,15,41637,33522,100,100,
provincia,1,020000,Áncash,020900,Mariscal Luzuriaga,97.183,69,71,56.743,2.817,2,0.0,0,1777042806561,140000,140100,140101,15,10523,7407,100,100,
provincia,1,020000,Áncash,021000,Pallasca,90.789,69,76,53.607,9.211,7,0.0,0,1777042806561,140000,140100,140101,15,10241,7162,100,100,
provincia,1,020000,Áncash,021100,Pomabamba,91.139,72,79,55.838,8.861,7,0.0,0,1777042806561,140000,140100,140101,15,11483,7736,100,100,
provincia,1,020000,Áncash,021200,Recuay,100.0,67,67,69.999,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,11965,9769,100,100,
provincia,1,020000,Áncash,021300,Santa,95.568,1229,1286,73.58,4.432,57,0.0,0,1777042806561,140000,140100,140101,15,277662,224875,100,100,
provincia,1,020000,Áncash,021400,Sihuas,91.011,81,89,54.174,8.989,8,0.0,0,1777042806561,140000,140100,140101,15,12733,8773,100,100,
provincia,1,020000,Áncash,021500,Yungay,97.041,164,169,70.73,2.959,5,0.0,0,1777042806561,140000,140100,140101,15,33178,23078,100,100,
provincia,1,020000,Áncash,021600,Antonio Raimondi,84.783,39,46,41.969,15.217,7,0.0,0,1777042806561,140000,140100,140101,15,4941,3601,100,100,
provincia,1,020000,Áncash,021700,Carlos Fermín Fitzcarrald,89.474,51,57,54.204,10.526,6,0.0,0,1777042806561,140000,140100,140101,15,7987,5442,100,100,
provincia,1,020000,Áncash,021900,Huarmey,92.553,87,94,68.857,7.447,7,0.0,0,1777042806561,140000,140100,140101,15,18267,14762,100,100,
provincia,1,020000,Áncash,021800,Asunción,78.261,18,23,52.2,21.739,5,0.0,0,1777042806561,140000,140100,140101,15,3180,2242,100,100,
provincia,1,020000,Áncash,022000,Ocros,96.667,29,30,56.334,3.333,1,0.0,0,1777042806561,140000,140100,140101,15,3860,2956,100,100,
provincia,1,030000,Apurímac,030100,Abancay,98.722,309,313,74.119,1.278,4,0.0,0,1777042806561,140000,140100,140101,15,66136,54390,100,100,
provincia,1,030000,Apurímac,030200,Aymaraes,99.01,100,101,66.529,0.99,1,0.0,0,1777042806561,140000,140100,140101,15,17273,13236,100,100,
provincia,1,030000,Apurímac,030400,Antabamba,97.674,42,43,59.621,2.326,1,0.0,0,1777042806561,140000,140100,140101,15,6736,5115,100,100,
provincia,1,030000,Apurímac,030300,Andahuaylas,94.714,430,454,69.807,5.286,24,0.0,0,1777042806561,140000,140100,140101,15,88448,70699,100,100,
