nivel,id_ambito_geografico,ubigeo_departamento,nombre_departamento,ubigeo_provincia,nombre_provincia,actasContabilizadas,contabilizadas,totalActas,participacionCiudadana,actasEnviadasJee,enviadasJee,actasPendientesJee,pendientesJee,fechaActualizacion,idUbigeoDepartamento,idUbigeoProvincia,idUbigeoDistrito,idUbigeoDistritoElectoral,totalVotosEmitidos,totalVotosValidos,porcentajeVotosEmitidos,porcentajeVotosValidos,error
total,,,TOTAL (Peru + exterior),,,96.054,89105,92766,70.97,3.946,3661,0.0,0,1777266000470,140000,140100,140101,15,19392980,16142623,100,100,
exterior,2,,TOTAL Exterior (ambito 2),,,91.545,2328,2543,30.728,8.455,215,0.0,0,1777266000470,140000,140100,140101,15,372061,283634,100,100,
departamento,1,010000,Amazonas,,,96.87,1238,1278,60.187,3.13,40,0.0,0,1777266000470,140000,140100,140101,15,207791,158228,100,100,
departamento,1,020000,Áncash,,,95.507,3316,3472,68.657,4.493,156,0.0,0,1777266000470,140000,140100,140101,15,666925,519863,100,100,
nacional,1,,TOTAL Peru (ambito 1),,,96.181,86777,90223,72.836,3.819,3446,0.0,0,1777266000470,140000,140100,140101,15,19020919,15858989,100,100,
departamento,1,030000,Apurímac,,,97.874,1289,1317,69.233,2.126,28,0.0,0,1777266000470,140000,140100,140101,15,250166,197040,100,100,
departamento,1,040000,Arequipa,,,99.217,4182,4215,80.428,0.783,33,0.0,0,1777266000470,140000,140100,140101,15,986469,873612,100,100,
departamento,1,060000,Cajamarca,,,97.146,4119,4240,66.821,2.854,121,0.0,0,1777266000470,140000,140100,140101,15,801038,627714,100,100,
departamento,1,050000,Ayacucho,,,99.053,1882,1900,67.766,0.947,18,0.0,0,1777266000470,140000,140100,140101,15,352547,281460,100,100,
departamento,1,070000,Cusco,,,96.51,3844,3983,71.702,3.49,139,0.0,0,1777266000470,140000,140100,140101,15,812928,670633,100,100,
departamento,1,080000,Huancavelica,,,95.287,1213,1273,61.205,4.713,60,0.0,0,1777266000470,140000,140100,140101,15,207758,165171,100,100,
departamento,1,110000,Junín,,,97.155,3586,3691,71.864,2.845,105,0.0,0,1777266000470,140000,140100,140101,15,763560,618950,100,100,
departamento,1,090000,Huánuco,,,95.301,2231,2341,64.055,4.699,110,0.0,0,1777266000470,140000,140100,140101,15,420535,327254,100,100,
departamento,1,100000,Ica,,,95.375,2330,2443,77.908,4.625,113,0.0,0,1777266000470,140000,140100,140101,15,556263,460633,100,100,
departamento,1,120000,La Libertad,,,97.699,5180,5302,73.462,2.301,122,0.0,0,1777266000470,140000,140100,140101,15,1140643,913291,100,100,
departamento,1,130000,Lambayeque,,,98.942,3552,3590,76.943,1.058,38,0.0,0,1777266000470,140000,140100,140101,15,808942,660149,100,100,
departamento,1,140000,Lima,,,96.273,28157,29247,76.873,3.727,1090,0.0,0,1777266000470,140000,140100,140101,15,6650288,5867545,100,100,
departamento,1,160000,Madre De Dios,,,95.266,483,507,67.308,4.734,24,0.0,0,1777266000470,140000,140100,140101,15,99331,77046,100,100,
departamento,1,150000,Loreto,,,87.319,2355,2697,51.093,12.681,342,0.0,0,1777266000470,140000,140100,140101,15,396439,299167,100,100,
departamento,1,170000,Moquegua,,,96.194,556,578,76.734,3.806,22,0.0,0,1777266000470,140000,140100,140101,15,126325,109807,100,100,
departamento,1,180000,Pasco,,,96.384,773,802,62.938,3.616,29,0.0,0,1777266000470,140000,140100,140101,15,140790,111912,100,100,
departamento,1,200000,Puno,,,98.911,3360,3397,79.025,1.089,37,0.0,0,1777266000470,140000,140100,140101,15,761394,644141,100,100,
departamento,1,190000,Piura,,,94.016,4965,5281,70.385,5.984,316,0.0,0,1777266000470,140000,140100,140101,15,1079768,830231,100,100,
departamento,1,210000,San Martín,,,93.607,2372,2534,69.024,6.393,162,0.0,0,1777266000470,140000,140100,140101,15,499462,365553,100,100,
departamento,1,220000,Tacna,,,98.463,1025,1041,81.021,1.537,16,0.0,0,1777266000470,140000,140100,140101,15,245182,217512,100,100,
departamento,1,230000,Tumbes,,,90.665,573,632,70.811,9.335,59,0.0,0,1777266000470,140000,140100,140101,15,128393,100640,100,100,
departamento,1,250000,Ucayali,,,90.026,1408,1564,60.039,9.974,156,0.0,0,1777266000470,140000,140100,140101,15,272532,204199,100,100,
provincia,1,010000,Amazonas,010100,Chachapoyas,90.588,154,170,64.272,9.412,16,0.0,0,1777266000470,140000,140100,140101,15,29305,23274,100,100,
departamento,1,240000,Callao,,,96.204,2788,2898,75.142,3.796,110,0.0,0,1777266000470,140000,140100,140101,15,645450,557238,100,100,
provincia,1,010000,Amazonas,010200,Bagua,99.2,248,250,59.772,0.8,2,0.0,0,1777266000470,140000,140100,140101,15,41751,32274,100,100,
provincia,1,010000,Amazonas,010300,Bongará,100.0,84,84,68.587,0.0,0,0.0,0,1777266000470,140000,140100,140101,15,15214,11441,100,100,
provincia,1,010000,Amazonas,010500,Rodríguez De Mendoza,98.039,100,102,60.025,1.961,2,0.0,0,1777266000470,140000,140100,140101,15,15648,11214,100,100,
provincia,1,010000,Amazonas,010400,Luya,96.226,153,159,61.044,3.774,6,0.0,0,1777266000470,140000,140100,140101,15,24450,17731,100,100,
provincia,1,010000,Amazonas,010600,Condorcanqui,98.276,171,174,41.402,1.724,3,0.0,0,1777266000470,140000,140100,140101,15,19587,14603,100,100,
provincia,1,010000,Amazonas,010700,Utcubamba,96.755,328,339,65.652,3.245,11,0.0,0,1777266000470,140000,140100,140101,15,61836,47691,100,100,
provincia,1,020000,Áncash,020100,Huaraz,98.684,450,456,77.53,1.316,6,0.0,0,1777266000470,140000,140100,140101,15,100131,81303,100,100,
provincia,1,020000,Áncash,020200,Aija,100.0,26,26,67.721,0.0,0,0.0,0,1777266000470,140000,140100,140101,15,4473,3414,100,100,
provincia,1,020000,Áncash,020300,Bolognesi,100.0,85,85,65.559,0.0,0,0.0,0,1777266000470,140000,140100,140101,15,13260,10303,100,100,
provincia,1,020000,Áncash,020500,Casma,86.713,124,143,69.197,13.287,19,0.0,0,1777266000470,140000,140100,140101,15,28451,21919,100,100,
provincia,1,020000,Áncash,020400,Carhuaz,99.329,148,149,79.487,0.671,1,0.0,0,1777266000470,140000,140100,140101,15,32596,23333,100,100,
provincia,1,020000,Áncash,020600,Corongo,100.0,27,27,63.523,0.0,0,0.0,0,1777266000470,140000,140100,140101,15,4021,3009,100,100,
provincia,1,020000,Áncash,020800,Huari,93.333,308,330,46.976,6.667,22,0.0,0,1777266000470,140000,140100,140101,15,42699,34339,100,100,
provincia,1,020000,Áncash,020700,Huaylas,98.817,167,169,72.66,1.183,2,0.0,0,1777266000470,140000,140100,140101,15,34143,23653,100,100,
provincia,1,020000,Áncash,020900,Mariscal Luzuriaga,97.183,69,71,56.743,2.817,2,0.0,0,1777266000470,140000,140100,140101,15,10523,7407,100,100,
provincia,1,020000,Áncash,021000,Pallasca,90.789,69,76,53.607,9.211,7,0.0,0,1777266000470,140000,140100,140101,15,10241,7162,100,100,
provincia,1,020000,Áncash,021100,Pomabamba,91.139,72,79,55.838,8.861,7,0.0,0,1777266000470,140000,140100,140101,15,11483,7736,100,100,
provincia,1,020000,Áncash,021300,Santa,95.568,1229,1286,73.58,4.432,57,0.0,0,1777266000470,140000,140100,140101,15,277662,224875,100,100,
provincia,1,020000,Áncash,021200,Recuay,100.0,67,67,69.999,0.0,0,0.0,0,1777266000470,140000,140100,140101,15,11965,9769,100,100,
provincia,1,020000,Áncash,021400,Sihuas,91.011,81,89,54.174,8.989,8,0.0,0,1777266000470,140000,140100,140101,15,12733,8773,100,100,
provincia,1,020000,Áncash,021500,Yungay,100.0,169,169,72.813,0.0,0,0.0,0,1777266000470,140000,140100,140101,15,34155,23752,100,100,
provincia,1,020000,Áncash,021600,Antonio Raimondi,86.957,40,46,43.277,13.043,6,0.0,0,1777266000470,140000,140100,140101,15,5095,3714,100,100,
provincia,1,020000,Áncash,021700,Carlos Fermín Fitzcarrald,89.474,51,57,54.204,10.526,6,0.0,0,1777266000470,140000,140100,140101,15,7987,5442,100,100,
provincia,1,020000,Áncash,021800,Asunción,78.261,18,23,52.2,21.739,5,0.0,0,1777266000470,140000,140100,140101,15,3180,2242,100,100,
provincia,1,020000,Áncash,021900,Huarmey,92.553,87,94,68.857,7.447,7,0.0,0,1777266000470,140000,140100,140101,15,18267,14762,100,100,
