nivel,id_ambito_geografico,ubigeo_departamento,nombre_departamento,ubigeo_provincia,nombre_provincia,actasContabilizadas,contabilizadas,totalActas,participacionCiudadana,actasEnviadasJee,enviadasJee,actasPendientesJee,pendientesJee,fechaActualizacion,idUbigeoDepartamento,idUbigeoProvincia,idUbigeoDistrito,idUbigeoDistritoElectoral,totalVotosEmitidos,totalVotosValidos,porcentajeVotosEmitidos,porcentajeVotosValidos,error
total,,,TOTAL (Peru + exterior),,,93.474,86712,92766,69.168,6.209,5760,0.317,294,1776537357171,140000,140100,140101,15,18900465,15756050,100,100,
departamento,1,010000,Amazonas,,,93.662,1197,1278,58.366,6.338,81,0.0,0,1776537600678,140000,140100,140101,15,201505,153461,100,100,
exterior,2,,TOTAL Exterior (ambito 2),,,70.271,1787,2543,22.856,26.347,670,3.382,86,1776537600678,140000,140100,140101,15,276740,213928,100,100,
departamento,1,020000,Áncash,,,92.598,3215,3472,66.52,7.402,257,0.0,0,1776537600678,140000,140100,140101,15,646162,503511,100,100,
nacional,1,,TOTAL Peru (ambito 1),,,94.128,84925,90223,71.315,5.642,5090,0.23,208,1776537600678,140000,140100,140101,15,18623725,15542122,100,100,
departamento,1,030000,Apurímac,,,96.431,1270,1317,68.16,3.569,47,0.0,0,1776537600678,140000,140100,140101,15,246288,194027,100,100,
departamento,1,040000,Arequipa,,,97.912,4127,4215,79.378,2.088,88,0.0,0,1776537600678,140000,140100,140101,15,973590,862307,100,100,
departamento,1,050000,Ayacucho,,,95.158,1808,1900,65.059,4.842,92,0.0,0,1776537600678,140000,140100,140101,15,338463,270409,100,100,
departamento,1,060000,Cajamarca,,,94.34,4000,4240,64.831,5.637,239,0.023,1,1776537600678,140000,140100,140101,15,777177,609370,100,100,
departamento,1,070000,Cusco,,,95.556,3806,3983,71.08,3.54,141,0.904,36,1776537600678,140000,140100,140101,15,805878,664972,100,100,
departamento,1,080000,Huancavelica,,,95.051,1210,1273,61.039,4.87,62,0.079,1,1776537600678,140000,140100,140101,15,207195,164732,100,100,
departamento,1,090000,Huánuco,,,91.286,2137,2341,61.381,8.714,204,0.0,0,1776537600678,140000,140100,140101,15,402976,314316,100,100,
departamento,1,100000,Ica,,,90.585,2213,2443,74.002,9.415,230,0.0,0,1776537600678,140000,140100,140101,15,528373,438072,100,100,
departamento,1,110000,Junín,,,95.367,3520,3691,70.547,4.633,171,0.0,0,1776537600678,140000,140100,140101,15,749561,607965,100,100,
departamento,1,120000,La Libertad,,,92.663,4913,5302,69.602,7.337,389,0.0,0,1776537600678,140000,140100,140101,15,1080703,865944,100,100,
departamento,1,130000,Lambayeque,,,95.292,3421,3590,74.184,4.708,169,0.0,0,1776537600678,140000,140100,140101,15,779934,637819,100,100,
departamento,1,140000,Lima,,,95.193,27841,29247,76.02,4.318,1263,0.489,143,1776537600678,140000,140100,140101,15,6576518,5805382,100,100,
departamento,1,150000,Loreto,,,84.538,2280,2697,49.503,14.868,401,0.594,16,1776537600678,140000,140100,140101,15,384105,290587,100,100,
departamento,1,170000,Moquegua,,,94.983,549,578,75.809,5.017,29,0.0,0,1776537600678,140000,140100,140101,15,124803,108556,100,100,
departamento,1,160000,Madre De Dios,,,89.349,453,507,63.091,10.651,54,0.0,0,1776537600678,140000,140100,140101,15,93108,72373,100,100,
departamento,1,190000,Piura,,,91.895,4853,5281,68.744,8.105,428,0.0,0,1776537600678,140000,140100,140101,15,1054592,810538,100,100,
departamento,1,180000,Pasco,,,93.142,747,802,60.862,6.858,55,0.0,0,1776537600678,140000,140100,140101,15,136146,108253,100,100,
departamento,1,200000,Puno,,,96.88,3291,3397,77.466,3.032,103,0.088,3,1776537600678,140000,140100,140101,15,746374,631605,100,100,
departamento,1,220000,Tacna,,,95.005,989,1041,78.179,4.995,52,0.0,0,1776537600678,140000,140100,140101,15,236582,209943,100,100,
departamento,1,210000,San Martín,,,93.607,2372,2534,69.024,6.393,162,0.0,0,1776537600678,140000,140100,140101,15,499462,365553,100,100,
departamento,1,230000,Tumbes,,,90.665,573,632,70.811,9.335,59,0.0,0,1776537600678,140000,140100,140101,15,128393,100640,100,100,
departamento,1,240000,Callao,,,95.376,2764,2898,74.496,4.348,126,0.276,8,1776537600678,140000,140100,140101,15,639897,552444,100,100,
departamento,1,250000,Ucayali,,,87.98,1376,1564,58.586,12.02,188,0.0,0,1776537600678,140000,140100,140101,15,265940,199343,100,100,
provincia,1,010000,Amazonas,010100,Chachapoyas,90.588,154,170,64.272,9.412,16,0.0,0,1776537600678,140000,140100,140101,15,29305,23274,100,100,
