codigoMesa,sanchez,aliaga
010793,31,5
010803,30,2
010804,52,2
010829,27,2
010840,42,6
010844,59,0
010877,38,2
010892,46,6
011017,71,3
011063,55,5
011091,41,0
011094,33,0
011098,60,3
011149,15,1
011170,25,13
011276,24,21
011318,25,24
011334,30,17
011352,44,10
011378,55,7
011386,44,9
011421,31,23
011456,31,25
011474,36,8
011477,35,12
011497,32,16
011502,38,12
011519,20,12
011543,40,14
011546,52,8
011557,32,22
011562,30,13
011573,38,16
011577,28,14
011633,40,16
011635,25,16
011662,31,9
011690,39,7
011713,59,1
011731,54,1
011760,56,5
011761,64,3
011762,64,9
011771,0,1
011800,99,2
011808,73,3
011816,43,4
011825,52,4
011836,61,5
011856,36,8
011857,54,8
011860,44,15
011861,77,4
011862,68,6
011864,55,13
011865,38,0
011867,53,13
011893,30,7
011895,33,13
012009,66,3
012119,37,2
012144,44,6
012153,24,0
012254,41,5
012282,59,7
012287,72,4
012316,64,4
012318,34,1
012334,45,1
012335,52,3
012369,67,0
012376,81,1
012379,78,2
012384,42,1
012388,72,1
012472,40,1
012485,6,5
012495,36,10
012535,75,4
012639,59,0
012719,52,5
012723,43,2
012772,103,5
012791,63,3
012801,44,1
012830,56,3
012954,121,3
012970,69,5
012995,102,0
013018,70,0
013048,115,1
013105,102,2
013119,61,2
013144,80,4
013156,70,0
013161,52,2
013221,79,0
013227,29,5
013255,119,4
013285,112,2
013288,109,0
013303,79,1
013304,87,3
013336,82,1
013411,82,1
013446,90,2
013451,77,1
013464,69,0
013474,27,7
013489,3,15
013529,41,11
013530,38,10
013554,45,7
013561,45,5
013568,48,7
013578,53,12
013585,31,7
013597,32,12
013601,8,11
013602,39,14
013614,51,7
013617,39,10
013662,33,11
013671,40,8
013677,31,10
013716,67,6
013718,59,11
013749,32,10
013755,4,11
013764,59,6
013777,76,3
013778,59,1
013825,51,1
013826,77,4
013836,79,0
013856,72,3
013865,98,2
013889,2,5
013934,72,0
013966,86,6
013968,88,2
013995,62,1
014020,91,4
014033,2,4
014045,63,0
014046,71,0
014056,76,2
014063,93,2
014088,73,2
014106,65,2
014155,1,1
014165,55,1
014171,72,1
014218,56,1
014263,55,6
014279,88,5
014285,63,11
014287,46,7
014310,67,6
014335,85,5
014345,69,1
014356,86,6
014388,84,0
014432,75,1
014469,79,3
014470,9,3
014474,76,4
014488,54,0
014504,39,7
014509,62,4
014510,78,2
014529,56,0
014544,64,0
014569,57,2
014570,74,7
014590,87,8
014638,51,6
014657,62,1
014738,12,11
014760,7,18
014761,10,29
014782,7,19
015027,7,22
015034,2,30
015066,46,4
015074,36,1
015140,23,6
015149,21,9
015303,19,10
015437,14,16
015490,12,22
015491,13,3
015502,14,22
015515,25,11
015546,17,10
015555,20,7
015624,19,4
015661,14,9
015725,16,13
015737,18,7
015758,53,4
015880,4,32
015936,8,31
016001,5,7
016009,35,2
016017,60,1
016026,52,4
016044,67,2
016193,6,6
016219,8,8
016221,14,6
016226,52,4
016229,64,2
016233,57,2
016401,58,5
016491,58,1
016522,57,0
016579,50,11
016580,47,2
016589,61,7
016671,38,3
016787,52,5
016803,62,2
017044,51,2
017050,57,4
017074,46,2
017087,22,8
017164,47,1
017171,69,1
017328,32,4
017361,30,4
017373,10,1
017378,26,3
017392,21,3
017395,36,8
017430,28,4
017458,5,5
017507,49,4
017537,43,0
017544,72,7
017573,10,1
017584,68,1
017603,86,1
017604,79,3
017623,44,4
017651,69,3
017661,7,2
017665,63,3
017722,56,2
017733,76,1
017734,62,4
017738,41,0
017760,74,0
017762,101,2
017779,8,3
017787,24,3
017804,26,0
017921,77,1
017933,94,1
017956,69,2
017959,76,1
017960,83,1
017963,51,2
017980,100,1
017983,58,4
018001,38,8
018036,46,8
018071,17,2
018088,100,3
018147,186,0
018178,98,5
018183,95,1
018188,91,3
018192,30,5
018200,31,16
018264,29,9
018272,33,0
018297,7,11
018343,29,4
018357,24,11
018436,0,6
018455,52,11
018479,52,5
018545,36,4
018561,29,2
018576,59,1
018600,46,1
018637,0,3
018643,91,1
018644,77,3
018655,9,1
018673,73,3
018674,88,2
018683,73,3
018702,77,2
018759,58,1
018786,88,9
018793,51,1
018820,70,1
018827,81,4
018828,92,3
018835,54,13
018878,61,4
018892,65,8
018894,73,9
018917,53,7
018938,49,0
018977,80,1
019058,43,7
019069,49,6
019083,69,3
019085,104,2
019092,68,5
019158,92,3
019193,53,3
019211,67,3
019265,45,1
019270,74,3
019300,67,33
019327,37,4
019378,32,1
019402,43,2
019409,57,1
019410,60,2
019421,29,0
019423,0,5
019427,66,3
019434,37,4
019445,44,8
019469,6,2
019527,21,23
019536,21,18
019540,17,14
019549,16,29
019567,17,14
019570,26,14
019596,17,30
019632,15,19
019642,21,16
019669,29,18
019685,34,15
019688,18,24
019713,27,17
019737,7,5
019740,29,6
019750,46,2
019783,109,2
019785,95,1
019789,81,2
019790,80,5
019793,60,1
019805,7,9
019812,1,1
019825,75,4
019858,68,1
019864,42,6
019872,44,9
019918,22,21
019942,5,16
019948,20,18
019953,25,19
019982,24,25
020032,17,21
020067,20,15
020069,16,12
020074,20,16
020105,19,18
020118,14,16
020127,15,17
020129,18,15
020130,17,16
020172,24,9
020184,26,12
020222,21,15
020235,72,6
020240,64,1
020274,31,11
020275,29,10
020278,52,7
020282,38,18
020287,37,16
020314,53,17
020320,56,5
020321,59,4
020335,33,1
020336,43,7
020338,47,7
020360,72,10
020384,84,8
020392,62,4
020397,62,0
020406,33,19
020429,37,7
020442,6,1
020448,58,8
020480,39,4
020483,49,3
020539,53,4
020566,39,2
020592,72,1
020593,41,2
020601,71,5
020620,34,6
020627,53,3
020641,54,4
020664,40,4
020679,22,1
020710,0,0
020727,24,17
020731,21,14
020733,24,20
020755,30,17
020763,19,1
020769,7,13
020807,15,20
020829,13,14
020870,52,10
020879,38,11
020896,49,2
020912,32,14
020920,24,6
020922,27,12
020924,35,7
020937,47,4
020940,49,6
020942,29,4
020947,41,9
020949,37,7
020958,35,6
020962,1,6
020964,4,2
020982,45,9
020988,35,5
020996,26,13
021001,30,11
021028,31,7
021030,32,11
021043,57,2
021049,57,6
021077,17,17
021084,44,3
021085,40,4
021086,36,4
021093,40,2
021096,46,14
021107,74,2
021111,97,2
021112,97,4
021119,104,2
021120,114,0
