codigoMesa,sanchez,aliaga
056391,11,13
056473,10,50
056524,8,25
056536,0,36
056557,18,19
056586,4,30
056613,10,46
056680,10,40
056830,16,20
056859,3,46
056929,9,26
057012,4,14
057106,5,40
057113,11,28
057130,6,9
057425,4,25
057502,7,18
057567,5,31
057574,8,18
057575,6,32
057586,7,18
057618,11,17
057631,3,29
057667,3,42
057708,6,23
057710,7,19
057715,2,21
057717,6,26
057722,4,34
057741,6,26
057746,6,15
057747,4,25
057759,7,18
057826,7,11
057852,4,22
057929,10,32
057941,12,14
057951,6,18
057981,7,0
057986,7,19
058023,9,20
058068,17,31
058104,10,18
058169,10,27
058299,9,23
058346,3,14
058359,8,28
058459,3,27
058469,5,8
058470,6,15
058510,10,27
058520,7,18
058525,4,27
058589,10,18
058612,10,19
058616,7,18
058739,3,40
058795,1,75
058858,3,49
059050,0,118
059051,3,125
059054,6,93
059101,4,103
059153,0,122
059186,1,96
059207,2,69
059231,3,68
059362,0,130
059452,5,25
059623,6,22
059651,5,26
059770,7,23
059828,4,31
059888,1,27
059933,5,22
060049,1,22
060122,4,24
060125,11,25
060163,9,24
060340,4,30
060355,6,28
060383,10,23
060407,7,23
060413,2,30
060533,6,23
060585,4,30
060596,2,38
060751,9,41
060753,8,39
060807,3,68
060843,3,44
060876,6,35
060879,4,47
060880,4,42
060972,3,34
060975,5,38
061051,1,36
061060,1,46
061149,4,54
061203,3,28
061482,3,39
061536,4,36
061585,6,49
061646,3,63
061691,6,38
061730,11,31
061772,7,36
061802,4,37
061831,8,41
061841,2,53
061860,4,24
061961,9,43
062060,5,37
062111,8,29
062189,9,55
062190,8,34
081162,4,31
081168,9,31
081175,1,26
081192,1,25
081212,0,39
081220,0,33
081223,3,33
081239,2,35
081240,3,37
081252,3,24
081253,5,20
081276,1,73
081297,6,40
081316,7,26
081317,6,36
081352,3,56
081402,2,42
081403,2,46
081412,3,38
081456,2,53
081523,2,40
081590,1,46
081591,4,52
081628,11,34
081702,7,25
081733,6,21
081780,4,12
081782,2,26
081783,6,33
081785,5,26
081791,1,19
081807,7,42
081891,5,17
081893,3,47
081969,0,19
082042,2,24
082046,5,13
082066,7,22
082098,5,23
082103,2,28
082137,5,19
082174,1,25
082192,2,36
082195,6,24
082220,2,29
082254,4,29
082255,6,37
082258,2,27
082259,6,34
082289,3,26
082331,2,32
082466,3,64
082475,0,95
082525,2,56
082542,1,43
082563,1,44
082576,2,42
082577,2,44
082585,0,43
082603,2,38
082634,2,52
082638,0,63
082673,1,35
082698,0,109
082699,1,90
082713,3,78
082766,2,23
082767,5,32
082800,1,29
082852,1,23
082914,2,31
082945,2,57
082946,1,56
083006,1,58
083015,1,35
083091,6,26
083100,9,15
083188,4,20
083191,12,26
083205,7,16
083214,9,26
083224,13,21
083296,7,16
083315,16,15
083325,18,23
083357,16,12
083359,29,10
083377,6,18
083392,16,19
083399,12,16
083409,12,21
083411,15,22
083418,10,18
083422,13,13
083433,4,19
083444,13,12
083527,14,15
083570,13,20
083582,8,16
083605,13,13
083613,16,18
083701,20,9
083725,16,12
083800,16,17
083804,12,12
083912,9,10
903244,14,31
903249,9,10
