ubigeo,ambito,nombre,provincia,departamento,razon,actas_pct,donor_ubigeo,donor_nombre,scope
010103,1,Balsas,Chachapoyas,Amazonas,0% actas contabilizadas,0.0,010403+060304,Cocabamba+Huasmín,"centroide (24.7 km, 24.8 km)"
010106,1,Chuquibamba,Chachapoyas,Amazonas,0% actas contabilizadas,0.0,010110+120201,Leimebamba+Bolívar,"centroide (25.9 km, 29.6 km)"
010107,1,Granada,Chachapoyas,Amazonas,0% actas contabilizadas,0.0,010116+010102,Olleros+Asunción,"centroide (10.6 km, 12.3 km)"
010117,1,Quinjalca,Chachapoyas,Amazonas,0% actas contabilizadas,0.0,010105+010102,Chiliquin+Asunción,"centroide (6.7 km, 7.5 km)"
010603,1,El Cenepa,Condorcanqui,Amazonas,0% actas contabilizadas,0.0,010206+061106,Imaza+San José De Lourdes,"centroide (80.0 km, 110.4 km)"
010601,1,Nieva,Condorcanqui,Amazonas,0% actas contabilizadas,0.0,010206+010202,Imaza+Aramango,"centroide (79.0 km, 111.5 km)"
010602,1,Río Santiago,Condorcanqui,Amazonas,0% actas contabilizadas,0.0,010206+150706,Imaza+Pastaza,"centroide (140.4 km, 148.0 km)"
010423,1,Providencia,Luya,Amazonas,0% actas contabilizadas,0.0,010413+010402,Ocumal+Camporredondo,"centroide (3.7 km, 12.8 km)"
010412,1,Ocalli,Luya,Amazonas,0% actas contabilizadas,0.0,010402+010413,Camporredondo+Ocumal,"centroide (6.4 km, 8.1 km)"
010506,1,Longar,Rodríguez De Mendoza,Amazonas,0% actas contabilizadas,0.0,010508+010510,Mariscal Benavides+Santa Rosa,"centroide (4.7 km, 12.6 km)"
010504,1,Huambo,Rodríguez De Mendoza,Amazonas,0% actas contabilizadas,0.0,010508+010510,Mariscal Benavides+Santa Rosa,"centroide (6.1 km, 9.3 km)"
010505,1,Limabamba,Rodríguez De Mendoza,Amazonas,0% actas contabilizadas,0.0,010511+010503,Totora+Chirimoto,"centroide (3.1 km, 6.8 km)"
010502,1,Cochamal,Rodríguez De Mendoza,Amazonas,0% actas contabilizadas,0.0,010508+010510,Mariscal Benavides+Santa Rosa,"centroide (9.2 km, 15.3 km)"
010501,1,San Nicolás,Rodríguez De Mendoza,Amazonas,0% actas contabilizadas,0.0,010508+010510,Mariscal Benavides+Santa Rosa,"centroide (2.7 km, 7.1 km)"
020405,1,Ataquero,Carhuaz,Áncash,0% actas contabilizadas,0.0,021502+021507,Cascapara+Shupluy,"centroide (4.9 km, 5.0 km)"
