id_ambito_geografico,ubigeo_distrito,nombre_distrito,ubigeo_provincia,nombre_provincia,ubigeo_departamento,nombre_departamento
1,021604,Chingas,021600,Antonio Raimondi,020000,Áncash
1,021601,Llamellin,021600,Antonio Raimondi,020000,Áncash
1,021605,Mirgas,021600,Antonio Raimondi,020000,Áncash
1,021606,San Juan De Rontoy,021600,Antonio Raimondi,020000,Áncash
1,021802,Acochaca,021800,Asunción,020000,Áncash
1,021801,Chacas,021800,Asunción,020000,Áncash
1,020302,Abelardo Pardo Lezameta,020300,Bolognesi,020000,Áncash
1,020321,Antonio Raymondi,020300,Bolognesi,020000,Áncash
1,020304,Aquia,020300,Bolognesi,020000,Áncash
1,020305,Cajacay,020300,Bolognesi,020000,Áncash
1,020322,Canis,020300,Bolognesi,020000,Áncash
1,020301,Chiquian,020300,Bolognesi,020000,Áncash
1,020323,Colquioc,020300,Bolognesi,020000,Áncash
1,020325,Huallanca,020300,Bolognesi,020000,Áncash
1,020311,Huasta,020300,Bolognesi,020000,Áncash
1,020310,Huayllacayan,020300,Bolognesi,020000,Áncash
1,020324,La Primavera,020300,Bolognesi,020000,Áncash
1,020313,Mangas,020300,Bolognesi,020000,Áncash
1,020315,Pacllon,020300,Bolognesi,020000,Áncash
1,020317,San Miguel De Corpanqui,020300,Bolognesi,020000,Áncash
1,020320,Ticllos,020300,Bolognesi,020000,Áncash
1,020402,Acopampa,020400,Carhuaz,020000,Áncash
1,020403,Amashca,020400,Carhuaz,020000,Áncash
1,020404,Anta,020400,Carhuaz,020000,Áncash
1,020405,Ataquero,020400,Carhuaz,020000,Áncash
1,020401,Carhuaz,020400,Carhuaz,020000,Áncash
1,020406,Marcara,020400,Carhuaz,020000,Áncash
1,020407,Pariahuanca,020400,Carhuaz,020000,Áncash
1,020408,San Miguel De Aco,020400,Carhuaz,020000,Áncash
1,020409,Shilla,020400,Carhuaz,020000,Áncash
1,020410,Tinco,020400,Carhuaz,020000,Áncash
1,020411,Yungar,020400,Carhuaz,020000,Áncash
1,021701,San Luis,021700,Carlos Fermín Fitzcarrald,020000,Áncash
1,021703,San Nicolás,021700,Carlos Fermín Fitzcarrald,020000,Áncash
1,021702,Yauya,021700,Carlos Fermín Fitzcarrald,020000,Áncash
1,020502,Buena Vista Alta,020500,Casma,020000,Áncash
1,020501,Casma,020500,Casma,020000,Áncash
1,020503,Comandante Noel,020500,Casma,020000,Áncash
1,020505,Yautan,020500,Casma,020000,Áncash
1,020602,Aco,020600,Corongo,020000,Áncash
1,020603,Bambas,020600,Corongo,020000,Áncash
1,020601,Corongo,020600,Corongo,020000,Áncash
1,020604,Cusca,020600,Corongo,020000,Áncash
1,020605,La Pampa,020600,Corongo,020000,Áncash
1,020606,Yanac,020600,Corongo,020000,Áncash
1,020607,Yupan,020600,Corongo,020000,Áncash
1,020103,Cochabamba,020100,Huaraz,020000,Áncash
1,020104,Colcabamba,020100,Huaraz,020000,Áncash
1,020105,Huanchay,020100,Huaraz,020000,Áncash
1,020101,Huaraz,020100,Huaraz,020000,Áncash
1,020102,Independencia,020100,Huaraz,020000,Áncash
1,020106,Jangas,020100,Huaraz,020000,Áncash
1,020107,La Libertad,020100,Huaraz,020000,Áncash
1,020108,Olleros,020100,Huaraz,020000,Áncash
1,020109,Pampas Grande,020100,Huaraz,020000,Áncash
1,020110,Pariacoto,020100,Huaraz,020000,Áncash
1,020111,Pira,020100,Huaraz,020000,Áncash
1,020112,Tarica,020100,Huaraz,020000,Áncash
1,020816,Anra,020800,Huari,020000,Áncash
1,020802,Cajay,020800,Huari,020000,Áncash
1,020803,Chavín De Huántar,020800,Huari,020000,Áncash
1,020804,Huacachi,020800,Huari,020000,Áncash
1,020806,Huacchis,020800,Huari,020000,Áncash
1,020805,Huachis,020800,Huari,020000,Áncash
1,020807,Huantar,020800,Huari,020000,Áncash
1,020801,Huari,020800,Huari,020000,Áncash
1,020808,Masin,020800,Huari,020000,Áncash
1,020809,Paucas,020800,Huari,020000,Áncash
1,020810,Ponto,020800,Huari,020000,Áncash
1,020811,Rahuapampa,020800,Huari,020000,Áncash
1,020812,Rapayan,020800,Huari,020000,Áncash
1,020813,San Marcos,020800,Huari,020000,Áncash
1,020814,San Pedro De Chana,020800,Huari,020000,Áncash
1,020815,Uco,020800,Huari,020000,Áncash
1,021902,Cochapeti,021900,Huarmey,020000,Áncash
1,021905,Culebras,021900,Huarmey,020000,Áncash
1,021901,Huarmey,021900,Huarmey,020000,Áncash
1,021903,Huayan,021900,Huarmey,020000,Áncash
1,021904,Malvas,021900,Huarmey,020000,Áncash
1,020701,Caraz,020700,Huaylas,020000,Áncash
1,020702,Huallanca,020700,Huaylas,020000,Áncash
1,020703,Huata,020700,Huaylas,020000,Áncash
1,020704,Huaylas,020700,Huaylas,020000,Áncash
1,020705,Mato,020700,Huaylas,020000,Áncash
1,020706,Pamparomas,020700,Huaylas,020000,Áncash
1,020707,Pueblo Libre,020700,Huaylas,020000,Áncash
1,020708,Santa Cruz,020700,Huaylas,020000,Áncash
1,020710,Santo Toribio,020700,Huaylas,020000,Áncash
1,020709,Yuracmarca,020700,Huaylas,020000,Áncash
1,020902,Casca,020900,Mariscal Luzuriaga,020000,Áncash
1,020908,Eleazar Guzmán Barrón,020900,Mariscal Luzuriaga,020000,Áncash
1,020904,Fidel Olivas Escudero,020900,Mariscal Luzuriaga,020000,Áncash
1,020905,Llama,020900,Mariscal Luzuriaga,020000,Áncash
1,020906,Llumpa,020900,Mariscal Luzuriaga,020000,Áncash
1,020903,Lucma,020900,Mariscal Luzuriaga,020000,Áncash
